报告日期,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,
营业总收入(万元),13541879,6341532,4139035,1399991,10311625,4612822,3072299,1034591,7178275,2930837,1998884,797026,5071385,2238043,1676633,750497,4888101,2954384,2180865,816432,4099178,2254191,1725501,640044,3552661,1417347,1109652,411414,1791833,850870,666972,230387,1061420,
营业收入(万元),13541879,6341532,4139035,1399991,10311625,4612822,3072299,1034591,7178275,2930837,1998884,797026,5071385,2238043,1676633,750497,4888101,2954384,2180865,816432,4099178,2254191,1725501,640044,3552661,1417347,1109652,411414,1791833,850870,666972,230387,1061420,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,--,--,--,0,--,0,
营业总成本(万元),11216207,5396002,3467414,1164156,8302317,3863828,2518134,842399,5671638,2378348,1560292,630707,3958184,1787251,1313695,602980,4112244,2483703,1777806,696601,3485566,1887138,1394702,536394,2805949,1120074,854675,328217,1466353,659456,495230,177794,869124,
营业成本(万元),9279765,4303079,2748888,880159,6542161,2888554,1927445,602230,4322816,1704442,1099273,406877,3007350,1369615,1023975,474912,3451472,2061900,1500730,540408,2500527,1341616,1017141,392591,2060734,751631,604632,228051,1144126,517976,400482,142599,690590,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,--,--,--,--,0,0,--,--,0,0,0,
