报告日期,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,
营业总收入(万元),25712,18777,13807,5715,30902,23116,15613,8272,33815,25310,17413,9719,31676,15467,23642,18962,
营业收入(万元),25712,18777,13807,5715,30902,23116,15613,8272,33815,25310,17413,9719,31676,15467,23642,18962,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业总成本(万元),25613,18566,13439,5683,29593,21957,14803,7888,30683,22493,14976,7982,26240,12459,19340,16631,
营业成本(万元),21022,15375,11178,4682,24323,18225,12446,6820,25348,18691,12370,6780,21789,10538,16304,13700,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业税金及附加(万元),124,86,66,27,77,40,38,3,8,5,4,2,95,73,131,78,
销售费用(万元),1746,1121,789,300,2031,1469,757,292,1992,1380,939,339,1206,530,1299,1006,
管理费用(万元),3157,2375,1709,820,3516,2489,1655,814,3903,2566,1736,667,2663,1161,1119,1020,
财务费用(万元),-475,-327,-260,-109,-387,-294,-218,-140,-500,-116,-68,141,432,198,353,843,
资产减值损失(万元),38,-64,-44,-35,34,29,125,100,-68,-33,-5,53,56,-41,133,-16,
公允价值变动收益(万元),--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,
投资收益(万元),--,--,--,--,--,--,0,--,--,--,--,--,0,0,13,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
营业利润(万元),99,211,368,31,1309,1159,810,383,3132,2817,2437,1737,5335,3008,4315,2331,
营业外收入(万元),322,85,53,49,148,123,97,2,1653,1629,1194,21,293,36,321,254,
营业外支出(万元),3,9,8,1,3,3,1,1,33,26,1,0,8,1,116,33,
非流动资产处置损失(万元),2,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
利润总额(万元),418,287,413,79,1454,1279,906,384,4752,4420,3631,1757,5720,3043,4520,2552,
所得税费用(万元),50,56,76,5,167,176,121,62,683,691,559,260,798,454,654,361,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
净利润(万元),368,232,337,73,1287,1103,786,322,4069,3729,3071,1497,4922,2589,3866,2190,
归属于母公司所有者的净利润(万元),368,232,337,73,1287,1103,786,322,4069,3729,3071,1497,4922,2589,3866,2190,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
基本每股收益,0.03,0.02,0.03,0.01,0.1,0.08,0.06,0.02,0.32,0.28,0.25,0.22,0.98,0.52,0.77,0.44,
稀释每股收益,0.03,0.02,0.03,0.01,0.1,0.08,0.06,0.02,0.32,0.28,0.25,0.22,0.98,0.52,0.77,0.44,
