 报告日期,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),28866,22578,15398,7770,35953,25908,15426,5314,37135,26377,18299,5294,37182,19656,24241,23396, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收到的税费返还(万元),--,--,--,--,--,5,1,--,--,2,2,1,67,0,0,136, 
 收到的其他与经营活动有关的现金(万元),527,359,229,164,185,254,256,2,1923,2573,1463,52,192,2,937,252, 
 经营活动现金流入小计(万元),29392,22937,15627,7934,36138,26168,15683,5315,39058,28952,19764,5347,37441,19657,25178,23785, 
 购买商品、接受劳务支付的现金(万元),18303,15775,10465,4614,27735,19099,13291,5484,29343,19648,13459,4762,25923,11213,17049,13482, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 支付给职工以及为职工支付的现金(万元),2577,2044,1421,737,2698,2376,1503,680,2664,2098,1384,595,1769,839,1110,879, 
 支付的各项税费(万元),1749,1271,1072,532,1048,1147,734,159,1099,799,555,554,2557,1704,2205,2144, 
 支付的其他与经营活动有关的现金(万元),1879,1050,980,317,2232,2027,731,294,2092,1692,1614,269,3905,2373,1762,3056, 
 经营活动现金流出小计(万元),24508,20139,13938,6200,33713,24649,16259,6616,35199,24237,17012,6180,34154,16128,22126,19562, 
 经营活动产生的现金流量净额(万元),4885,2797,1689,1734,2424,1519,-576,-1301,3859,4716,2752,-833,3287,3529,3051,4223, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),107,27,25,25,95,231,--,--,1,1,1,1,0,0,7,3, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,1000,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 投资活动现金流入小计(万元),107,27,25,25,95,231,0,0,1,1,1,1,0,0,1007,3, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1964,2046,1202,641,4909,4457,4353,1996,12663,12974,8352,5043,13898,5931,2778,1827, 
 投资所支付的现金(万元),--,--,--,--,--,14,14,14,--,--,--,--,0,0,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,1000,1000,0,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 投资活动现金流出小计(万元),1964,2046,1202,641,4909,4471,4367,2010,12663,12974,8352,5043,14898,6931,2778,1827, 
 投资活动产生的现金流量净额(万元),-1857,-2019,-1177,-616,-4814,-4240,-4367,-2010,-12662,-12973,-8351,-5042,-14898,-6931,-1771,-1824, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,56183,55562,55562,55562,0,0,0,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,6000,6000,5500,3700,19683,13000,8981,2200, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到其他与筹资活动有关的现金(万元),212,125,88,--,340,180,197,180,651,890,890,621,7,4,5,12, 
 筹资活动现金流入小计(万元),212,125,88,0,340,180,197,180,62834,62451,61951,59883,19690,13004,8986,2212, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,20383,20083,19583,16501,11000,11000,6200,4300, 
 分配股利、利润或偿付利息所支付的现金(万元),4020,4020,4020,--,402,402,402,--,1513,1537,1074,147,326,133,288,511, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 支付其他与筹资活动有关的现金(万元),60,--,--,--,62,46,63,46,488,468,468,459,37,35,18,102, 
 筹资活动现金流出小计(万元),4080,4020,4020,0,464,448,465,46,22384,22088,21125,17107,11363,11168,6506,4913, 
 筹资活动产生的现金流量净额(万元),-3868,-3895,-3932,0,-124,-268,-268,134,40450,40363,40826,42775,8327,1837,2480,-2701, 
 汇率变动对现金及现金等价物的影响(万元),-7,--,--,--,1,--,--,--,-5,--,--,--,-1,0,0,0, 
 现金及现金等价物净增加额(万元),-847,-3117,-3420,1118,-2513,-2989,-5211,-3177,31641,32106,35227,36899,-3285,-1565,3760,-302, 
 加:期初现金及现金等价物余额(万元),29993,29993,29993,29993,32506,32506,32506,32506,864,864,864,864,4149,4149,389,691, 
 期末现金及现金等价物余额(万元),29147,26877,26574,31111,29993,29517,27295,29329,32506,32970,36092,37764,864,2584,4149,389, 
 净利润(万元),368,--,337,--,1287,--,786,--,4069,--,3066,--,4922,--,3866,2190, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 资产减值准备(万元),38,--,-44,--,34,--,125,--,-68,--,-5,--,56,--,133,-16, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),3957,--,1952,--,2906,--,244,--,2576,--,1098,--,1517,--,1400,1317, 
 无形资产摊销(万元),72,--,33,--,65,--,28,--,65,--,33,--,61,--,12,6, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0, 
