报告期,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,
营业收入(万元),25712,18777,13807,5715,30902,23116,15613,8272,33815,25310,17413,9719,31676,15467,23642,18962,
营业成本(万元),21022,15375,11178,4682,24323,18225,12446,6820,25348,18691,12370,6780,21789,10538,16304,13700,
营业利润(万元),99,211,368,31,1309,1159,810,383,3132,2817,2437,1737,5335,3008,4315,2331,
利润总额(万元),418,287,413,79,1454,1279,906,384,4752,4420,3631,1757,5720,3043,4520,2552,
所得税费用(万元),50,56,76,5,167,176,121,62,683,691,559,260,798,454,654,361,
净利润(万元),368,232,337,73,1287,1103,786,322,4069,3729,3071,1497,4922,2589,3866,2190,
基本每股收益,0.03,0.02,0.03,0.01,0.1,0.08,0.06,0.02,0.32,0.28,0.25,0.22,0.98,0.52,0.77,0.44,
货币资金(万元),29147,26877,26574,31111,29993,29517,27295,29329,32506,32970,36092,37764,1134,3199,4537,1389,
应收账款(万元),5202,3254,3618,3861,4505,4372,6188,6197,3774,4536,4840,6258,4988,3388,4107,2563,
存货(万元),4732,5628,5033,6320,4902,5432,5340,5615,5789,5273,5612,6368,5204,3829,3611,3092,
流动资产合计(万元),45176,41544,42507,46167,44584,45843,45131,45150,47930,48723,54523,57937,18069,17278,15761,7606,
固定资产净额(万元),32134,30940,31121,32029,32898,28676,28990,28566,31768,23067,23013,17408,17095,11953,11638,10471,
资产总计(万元),80110,78191,78782,83291,82064,83511,83987,82967,84041,83629,83992,82605,39974,32523,28738,19847,
流动负债合计(万元),6239,4574,5059,5812,4658,6290,7082,6124,7520,7449,8469,7316,21744,16626,14430,7893,
非流动负债合计(万元),117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,
负债合计(万元),6356,4574,5059,5812,4658,6290,7082,6124,7520,7449,8469,7316,21744,16626,14430,10393,
所有者权益(或股东权益)合计(万元),73754,73617,73723,77479,77406,77221,76904,76843,76521,76180,75523,75289,18230,15897,14308,9454,
期初现金及现金等价物余额(万元),29993,29993,29993,29993,32506,32506,32506,32506,864,864,864,864,4149,4149,389,691,
经营活动产生的现金流量净额(万元),4885,2797,1689,1734,2424,1519,-576,-1301,3859,4716,2752,-833,3287,3529,3051,4223,
投资活动产生的现金流量净额(万元),-1857,-2019,-1177,-616,-4814,-4240,-4367,-2010,-12662,-12973,-8351,-5042,-14898,-6931,-1771,-1824,
筹资活动产生的现金流量净额(万元),-3868,-3895,-3932,0,-124,-268,-268,134,40450,40363,40826,42775,8327,1837,2480,-2701,
现金及现金等价物净增加额(万元),-847,-3117,-3420,1118,-2513,-2989,-5211,-3177,31641,32106,35227,36899,-3285,-1565,3760,-302,
期末现金及现金等价物余额(万元),29147,26877,26574,31111,29993,29517,27295,29329,32506,32970,36092,37764,864,2584,4149,389,		
		
  
