报告日期,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,
货币资金(万元),29147,26877,26574,31111,29993,29517,27295,29329,32506,32970,36092,37764,1134,3199,4537,1389,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),4494,4746,5627,3585,4008,4979,4882,2891,4576,4665,3181,2133,957,1226,2024,283,
应收账款(万元),5202,3254,3618,3861,4505,4372,6188,6197,3774,4536,4840,6258,4988,3388,4107,2563,
预付款项(万元),1445,859,1534,1136,1018,910,1288,1076,1108,1269,4785,5394,5755,5612,1443,243,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收利息(万元),131,113,99,55,61,47,51,--,62,--,--,--,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,
其他应收款(万元),0,18,22,4,4,519,24,42,53,10,14,20,31,23,38,37,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
存货(万元),4732,5628,5033,6320,4902,5432,5340,5615,5789,5273,5612,6368,5204,3829,3611,3092,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他流动资产(万元),24,49,0,95,95,68,63,--,61,--,--,--,0,0,0,0,
流动资产合计(万元),45176,41544,42507,46167,44584,45843,45131,45150,47930,48723,54523,57937,18069,17278,15761,7606,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
可供出售金融资产(万元),--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产原值(万元),43770,--,41042,--,40904,--,35544,--,40823,--,30602,--,23612,17683,16713,0,
累计折旧(万元),11636,--,9921,--,8006,--,6554,--,9055,--,7590,--,6517,5730,5076,0,
固定资产净值(万元),32134,--,31121,--,32898,--,28990,--,31768,--,23013,--,17095,11953,11638,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产(万元),32134,30940,31121,32029,32898,28676,28990,28566,31768,23067,23013,17408,17095,11953,11638,10471,
在建工程(万元),283,1845,2510,2488,1967,6213,7138,6584,1701,8869,3595,4120,1887,702,395,846,
工程物资(万元),--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,
无形资产(万元),2450,3669,2487,2455,2470,2484,2501,2517,2531,2547,2563,2580,2596,2562,910,911,
开发支出(万元),7,167,128,121,109,259,177,104,80,387,257,510,286,0,0,0,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期待摊费用(万元),--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
递延所得税资产(万元),59,26,29,31,36,36,50,46,31,37,41,50,42,27,33,13,
其他非流动资产(万元),--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,
非流动资产合计(万元),34935,36647,36275,37124,37480,37668,38856,37817,36111,34906,29469,24667,21905,15245,12977,12241,
资产总计(万元),80110,78191,78782,83291,82064,83511,83987,82967,84041,83629,83992,82605,39974,32523,28738,19847,
短期借款(万元),--,--,--,--,--,--,0,--,--,--,--,--,14083,8000,6000,2200,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付票据(万元),--,--,--,140,141,150,244,--,959,794,--,--,270,675,637,2132,
应付账款(万元),5209,3531,4071,4943,3556,5637,5427,4889,5612,5709,5978,6455,5928,5927,5350,2587,
预收账款(万元),44,63,--,--,12,--,12,--,0,--,17,49,8,11,3,1,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付职工薪酬(万元),560,608,610,543,519,420,426,424,440,413,409,325,329,255,217,160,
应交税费(万元),183,120,258,82,294,-94,131,-18,-440,-287,467,-26,-409,205,429,220,
应付利息(万元),--,--,--,--,--,--,0,--,--,--,5,--,24,15,10,0,
应付股利(万元),--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应付款(万元),243,131,120,104,136,178,843,830,949,819,1594,512,1511,1538,1784,593,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他流动负债(万元),--,120,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
流动负债合计(万元),6239,4574,5059,5812,4658,6290,7082,6124,7520,7449,8469,7316,21744,16626,14430,7893,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,2500,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他非流动负债(万元),117,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
非流动负债合计(万元),117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,
负债合计(万元),6356,4574,5059,5812,4658,6290,7082,6124,7520,7449,8469,7316,21744,16626,14430,10393,
实收资本(或股本)(万元),13400,13400,13400,13400,13400,13400,13400,13400,13400,13400,13400,6700,5000,5000,5000,5000,
资本公积(万元),54735,54735,54735,54735,54735,54735,54735,54735,54735,54735,54735,54735,874,874,1874,877,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
盈余公积(万元),1855,1802,1802,1802,1802,1664,1664,1664,1664,1244,1244,1244,1244,744,744,359,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
未分配利润(万元),3764,3680,3786,7542,7469,7422,7105,7044,6722,6801,6143,12609,11112,9280,6690,3218,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
归属于母公司股东权益合计(万元),73754,73617,73723,77479,77406,77221,76904,76843,76521,76180,75523,75289,18230,15897,14308,9454,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
所有者权益(或股东权益)合计(万元),73754,73617,73723,77479,77406,77221,76904,76843,76521,76180,75523,75289,18230,15897,14308,9454,
负债和所有者权益(或股东权益)总计(万元),80110,78191,78782,83291,82064,83511,83987,82967,84041,83629,83992,82605,39974,32523,28738,19847,		
  
