 报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),5859455,3721880,1859058,6450472,4402512,2955426,1741590,5955533,4516323,3443221,1265168,5659041,4645782,2633870,1157178,2385889,1679526,1158047,272493,1707139,1355861,708088,278249,3110646,743877,477976,179378,744676,628892,328750,102578, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),26686,24686,10066,29629,30974,20222,13662,29991,30276,15612,5441,27562,19360,9631,7080,12447,12641,3830,2045,26173,14486,11391,3186,8823,7064,6030,2235,10483,8790,5477,1231, 
 收到的其他与经营活动有关的现金(万元),43154,20084,11269,42408,40318,21595,2670,59691,37091,20052,10286,82520,73596,29403,7809,23214,6547,4195,3672,15713,11049,14600,6717,18482,8564,2273,1724,8679,6670,3938,876, 
 经营活动现金流入小计(万元),5929295,3766649,1880392,6522509,4473804,2997243,1757922,6045216,4583691,3478884,1280896,5769123,4738738,2672903,1172066,2421551,1698714,1166072,278210,1749026,1381396,734079,288152,3137951,759505,486280,183337,763838,644352,338165,104685, 
