报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),1959279,1818016,1785891,1628377,1580489,1490799,1421430,1288827,1438617,1273617,1145723,1009812,1114651,959477,779783,628245,651412,591934,302739,246159,172655,249717,250012,242083,255514,318276,198545,175563,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
交易性金融资产(万元),--,--,--,--,10000,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,0,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
应收票据(万元),1563467,1300773,1225074,1100408,1114613,767812,685397,793939,878462,877683,722599,706055,595436,525380,546381,350503,308962,201933,253108,251222,280383,183854,244097,167534,178190,67814,127852,136571,
应收账款(万元),623631,481381,491085,419672,397070,373133,348219,308183,321125,336413,241331,214152,263762,255866,253895,120465,107159,101835,99334,79457,106377,137819,155915,57890,140485,164048,137328,174638,
预付款项(万元),118793,153872,100437,71901,102935,125062,118727,107523,140769,104688,40945,55573,26621,167349,24935,9729,10174,6713,15702,16861,19867,10968,20352,9425,20857,9350,5913,6736,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,0,--,--,--,--,0,--,0,
应收利息(万元),8249,7016,6183,5912,5012,8911,8860,7252,4950,3710,3342,4362,203,248,--,0,--,0,0,0,0,--,--,--,--,0,--,0,
应收股利(万元),1173,--,--,0,--,490,327,327,331,331,1256,1267,--,0,--,0,--,0,0,0,0,--,--,--,--,3,4,0,
其他应收款(万元),122028,65724,48590,26741,8404,14080,17577,25647,10851,22433,17616,10189,8173,12150,4031,6309,2493,6475,7040,7344,16909,13238,11194,9286,12079,15415,13715,8801,
